# Generated by gen_sweep_list.py — read-only RM control commands.
# source table: tools/effectmap/out/ctrl_table.json
# admitted 327 of 2382
# format: <cmd_hex> <paramsSize>
0x00000102 108    # NV0000_CTRL_CMD_SYSTEM_GET_CPU_INFO
0x00000104 156    # NV0000_CTRL_CMD_SYSTEM_GET_CHIPSET_INFO
0x00000107 1    # NV0000_CTRL_CMD_SYSTEM_GPS_SYS_GET_RULESET
0x00000107 1    # NV0000_CTRL_CMD_SYSTEM_PFM_REQ_HNDLR_SYS_GET_RULESET
0x00000108 132    # NV0000_CTRL_CMD_SYSTEM_GET_CLASSLIST
0x00000108 132    # NV0000_CTRL_CMD_SYSTEM_GPS_SYS_GET_RULE_COUNT
0x00000108 132    # NV0000_CTRL_CMD_SYSTEM_PFM_REQ_HNDLR_SYS_GET_RULE_COUNT
0x00000111 4    # NV0000_CTRL_CMD_SYSTEM_GET_PLATFORM_TYPE
0x00000127 176    # NV0000_CTRL_CMD_SYSTEM_GET_P2P_CAPS
0x0000012B 8348    # NV0000_CTRL_CMD_SYSTEM_GET_P2P_CAPS_V2
0x0000012C 148    # NV0000_CTRL_CMD_SYSTEM_GPS_GET_PERF_SENSORS
0x0000012E 148    # NV0000_CTRL_CMD_SYSTEM_GPS_GET_EXTENDED_PERF_SENSORS
0x0000012F 514    # NV0000_CTRL_CMD_SYSTEM_GPS_GET_FRM_DATA
0x00000133 1288    # NV0000_CTRL_CMD_SYSTEM_GET_VGX_SYSTEM_INFO
0x00000135 1    # NV0000_CTRL_CMD_SYSTEM_GET_PRIVILEGED_STATUS
0x00000136 4    # NV0000_CTRL_CMD_SYSTEM_GET_FABRIC_STATUS
0x00000139 8    # NV0000_CTRL_CMD_SYSTEM_GET_RM_INSTANCE_ID
0x0000013A 1352    # NV0000_CTRL_CMD_SYSTEM_GET_P2P_CAPS_MATRIX
0x0000013D 16    # NV0000_CTRL_CMD_SYSTEM_GET_CLIENT_DATABASE_INFO
0x0000013E 1032    # NV0000_CTRL_CMD_SYSTEM_GET_BUILD_VERSION_V2
0x00000144 514    # NV0000_CTRL_CMD_SYSTEM_PFM_REQ_HNDLR_GET_FRM_DATA
0x00000146 148    # NV0000_CTRL_CMD_SYSTEM_PFM_REQ_HNDLR_GET_PERF_SENSORS
